level,file_name,time,number_of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance
L5,2019-4-L5-3.wav,0.43312931060791016,165.0,6.0,5.0,5.0,32.1,34.8,0.9
L1,2023-1-L1-.wav,0.7500753402709961,164.0,26.0,3.0,4.0,40.5,59.9,0.7
L1,2023-1-L1-1.wav,0.33389878273010254,68.0,5.0,3.0,3.0,21.7,25.1,0.9
L1,2023-1-L1-2.wav,0.33232951164245605,84.0,6.0,3.0,4.0,20.9,25.8,0.8
L1,2023-1-L1-3.wav,0.1830613613128662,40.0,6.0,3.0,3.0,12.4,15.5,0.8
L3,2023-1-L3--.wav,0.7333889007568359,227.0,18.0,4.0,5.0,47.8,59.9,0.8
L3,2023-1-L3-.wav,0.7165548801422119,242.0,9.0,4.0,5.0,51.7,58.9,0.9
L3,2023-1-L3-1.wav,0.4331934452056885,145.0,3.0,4.0,4.0,32.3,34.3,0.9
L3,2023-1-L3-2.wav,0.40032267570495605,120.0,5.0,4.0,4.0,26.8,30.5,0.9
L3,2023-1-L3-3.wav,0.3832731246948242,124.0,6.0,4.0,4.0,27.9,31.1,0.9
L3,2023-1-L3-4.wav,0.43337106704711914,126.0,9.0,4.0,4.0,29.3,35.4,0.8
L3,2023-1-L3-5.wav,0.5026223659515381,196.0,6.0,5.0,5.0,39.8,43.2,0.9
L3,2023-1-L3-6.wav,0.3473398685455322,109.0,10.0,4.0,5.0,20.0,27.1,0.7
L3,2023-1-L3-7.wav,0.43377089500427246,135.0,3.0,4.0,4.0,31.4,32.8,1.0
L4,2023-1-L4-.wav,0.7189404964447021,222.0,14.0,4.0,4.0,50.9,59.4,0.9
L4,2023-1-L4-1.wav,0.48378825187683105,162.0,7.0,4.0,4.0,38.8,42.5,0.9
L4,2023-1-L4-2.wav,0.4834930896759033,183.0,13.0,4.0,5.0,36.1,42.8,0.8
L4,2023-1-L4-3.wav,0.33312439918518066,106.0,4.0,4.0,4.0,23.7,25.7,0.9
L4,2023-1-L4-4.wav,0.3506433963775635,121.0,3.0,5.0,5.0,24.2,26.3,0.9
L4,2023-1-L4-5.wav,0.4664781093597412,83.0,2.0,4.0,4.0,20.1,21.9,0.9
L1,2023-2-L1-.wav,0.7163753509521484,202.0,22.0,3.0,4.0,46.2,58.7,0.8
L1,2023-2-L1-1.wav,0.4355156421661377,112.0,21.0,3.0,5.0,23.8,37.9,0.6
L1,2023-2-L1-2.wav,0.36365437507629395,87.0,11.0,3.0,4.0,21.6,29.9,0.7
L2,2023-2-L2-.wav,0.7169239521026611,176.0,16.0,3.0,4.0,45.8,58.7,0.8
L2,2023-2-L2-1.wav,0.46636271476745605,125.0,18.0,3.0,4.0,32.3,42.8,0.8
L2,2023-2-L2-2.wav,0.36820363998413086,72.0,8.0,3.0,4.0,19.4,25.2,0.8
L3,2023-2-L3-1.wav,0.6495153903961182,176.0,14.0,3.0,4.0,46.0,52.5,0.9
L3,2023-2-L3-2.wav,0.7139019966125488,176.0,14.0,3.0,4.0,47.5,55.1,0.9
L3,2023-2-L3-3.wav,0.7333440780639648,179.0,13.0,3.0,3.0,52.6,59.5,0.9
L3,2023-2-L3-4.wav,0.7358133792877197,215.0,8.0,4.0,4.0,57.0,61.0,0.9
L4,2023-2-L4-.wav,0.795771598815918,286.0,11.0,4.0,4.0,64.9,69.7,0.9
L4,2023-2-L4-1.wav,0.6666526794433594,215.0,5.0,4.0,4.0,49.7,52.1,1.0
